start;end;soc;länge
22845;22870;2892,33;26
22873;22894;2886,23;24
22898;22922;3450,86;25
23020;23030;3190,19;13
23040;23072;1013,42;33
23095;23112;3383,16;20
23144;23161;270,58;20
23177;23191;3539,88;17
23223;23239;451,19;19
23242;23262;439,86;23
23277;23294;3539,86;20
23300;23312;3539,87;15
23318;23336;2945,74;21
23344;23367;2311,52;24
23373;23391;2731,85;21
23396;23417;3505,69;22
23420;23435;3505,69;16
23438;23459;3374,31;22
23462;23490;3374,31;29
23493;23502;3431,31;12
23520;23541;2506,86;22
23544;23556;2506,86;13
23573;23596;3497,50;24
23634;23643;694,52;12
23673;23692;3409,03;22
23766;23791;3539,87;26
23805;23826;1600,60;22
23829;23846;1600,60;18
23866;23887;3435,01;22
23890;23904;3435,01;15
23933;23963;3308,63;31
23966;23988;3386,55;23
24057;24082;3539,87;26
24153;24174;3539,87;24
24253;24267;3124,40;17
24290;24316;659,12;27
24331;24361;3539,87;31
24431;24456;3539,87;26
24470;24488;311,04;21
24494;24505;302,12;14
24535;24544;3539,87;12
24549;24570;3476,36;22
24573;24586;3476,36;14
24589;24599;3137,18;13
24602;24623;3117,24;22
24626;24638;3117,24;13
24644;24659;3357,69;18
24682;24709;1535,61;28
24735;24759;3421,61;25
24762;24783;3336,37;22
24786;24814;3336,37;29
24817;24838;3493,42;22
24841;24862;3493,42;22
24865;24886;3493,42;22
24889;24910;3493,42;22
24913;24940;3493,42;28
24964;24988;652,12;25
25045;25055;564,59;13
25096;25127;3539,87;32
25130;25139;3296,91;12
25142;25163;2964,81;22
25166;25182;2964,81;17
25198;25219;3338,78;22
25222;25243;3338,78;22
25246;25267;3338,78;22
25270;25291;3338,78;22
25294;25324;3338,78;31
25343;25370;678,88;28
25389;25418;3539,87;30
25453;25467;669,13;17
25486;25514;3539,87;29
25545;25563;647,65;21
25582;25611;3539,87;30
25647;25661;658,66;17
25694;25710;3539,87;19
25774;25795;3539,87;22
25798;25818;3539,87;21
25821;25842;3147,72;22
25845;25873;3147,72;29
25877;25888;3249,80;14
25892;25903;3532,62;14
25915;25936;1806,68;22
25939;25958;1806,68;20
25969;26001;3211,37;33
26020;26049;523,07;30
26065;26077;3539,87;15
26081;26091;3539,87;13
26116;26140;695,77;25
26173;26194;3144,67;22
26197;26218;3144,67;22
26221;26242;3144,67;22
26245;26266;3144,67;22
26269;26290;3144,67;22
26293;26314;3144,67;22
26317;26338;3144,67;22
26341;26362;3144,67;22
26365;26391;3144,67;27
26394;26415;2751,68;22
26418;26442;2751,68;25
